ID,Team,Country,NameF,NameL,Weight,Height,DOB,Hometown,Prov,Pos,Age,HeightFt,HtIn,BMI
72,Men,USA,Mark,Arcobello,170,5'8,8/12/88,Milford,Conn.,Forward,33,5.67,68,26
73,Men,USA,Chad,Billins,185,5'10,5/26/89,Marysville,Mich.,Defence,32,5.83,70,27
74,Men,USA,Jonathan,Blum,195,6'1,1/30/89,Ladera Ranch,Calif.,Defence,33,6.08,73,26
75,Men,USA,Will,Borgen,195,6'2,12/19/96,Moorhead,Minn.,Defence,25,6.17,74,25
76,Men,USA,Chris,Bourque,180,5'8,1/29/86,North Reading,Mass.,Forward,36,5.67,68,27
77,Men,USA,Bobby,Butler,189,6'0,4/26/87,Marlborough,Mass.,Forward,35,6,72,26
78,Men,USA,Ryan,Donato,196,6'1,4/9/96,Scituate,Mass.,Forward,26,6.08,73,26
79,Men,USA,Matt,Gilroy,200,6'1,7/20/84,Bellmore,N.Y.,Defence,37,6.08,73,26
80,Men,USA,Brian,Gionta,175,5'7,1/18/79,Rochester,N.Y.,Forward,43,5.58,67,27
81,Men,USA,Jordan,Greenway,235,6'5,2/16/97,Canton,N.Y.,Forward,25,6.42,77,28
82,Men,USA,Ryan,Gunderson,170,5'9,8/16/85,Bensalem,Pa.,Defence,36,5.75,69,25
83,Men,USA,Chad,Kolarik,185,5'11,1/26/86,Abington,Pa.,Forward,36,5.92,71,26
84,Men,USA,David,Leggio,185,6'0,7/31/84,Buffalo,N.Y.,Goalie,37,6,72,25
85,Men,USA,Broc,Little,170,5'9,3/24/88,Rindge,N.H.,Forward,34,5.75,69,25
86,Men,USA,Brandon,Maxwell,196,6'1,3/22/91,Winter Park,Fla.,Goalie,31,6.08,73,26
87,Men,USA,John,McCarthy,195,6'1,8/9/86,Boston,Mass.,Forward,35,6.08,73,26
88,Men,USA,Brian,O'Neill,174,5'9,6/1/88,Yardley,Pa.,Forward,33,5.75,69,26
89,Men,USA,Garrett,Roe,178,5'9,2/22/88,Vienna,Va.,Forward,34,5.75,69,26
90,Men,USA,Bobby,Sanguinetti,190,6'2,2/29/88,Wilmington,N.C.,Defence,34,6.17,74,24
91,Men,USA,Jim,Slater,200,6'0,12/9/82,Lapeer,Mich.,Forward,39,6,72,27
92,Men,USA,Ryan,Stoa,210,6'3,4/13/87,Bloomington,Minn.,Forward,35,6.25,75,26
93,Men,USA,Troy,Terry,179,6'0,9/10/97,Highlands Ranch,Colo.,Forward,24,6,72,24
94,Men,USA,Noah,Welch,215,6'4,8/26/82,Brighton,Mass.,Defence,39,6.33,76,26
95,Men,USA,James,Wisniewski,205,6'0,2/21/84,Canton,Mich.,Defence,38,6,72,28
96,Men,USA,Ryan,Zapolski,203,6'0,11/11/86,Erie,Pa.,Goalie,35,6,72,28
